Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27353;1;;A-01351;CUT-OFF WHEEL 355;200;SE;14A16;20160502;20160912;10,26;2052
PO;100;27353;2;;A-15970;SPOOL;10;PC;T6F5B2;20160502;20160912;1,17;11,7
PO;100;27353;3;;A-16592;CUTTER CHAIN 21.0;10;PC;C/D3A1;20160502;20160912;129,33;1293,3
PO;100;27353;4;;A-30106;Scarper Ass'y;10;PC;N/A3C1;20160502;20160912;20,81;208,1
PO;100;27353;5;;A-47254;Grinding Wheel (GC120#);10;PC;F/D5B;20160502;20160912;11,35;113,5
PO;100;27353;6;;A-85553;SOCKET 22-52;10;PC;I/C3D2;20160502;20160912;2,71;27,1
PO;100;27353;7;;A-85662;JIG SAW BLADE B-14;10;SE;P/C6C;20160502;20160912;0,99;9,9
PO;100;27353;8;;B-12295;OFFSET DIAMOND WHEEL 125;20;PC;F/B8C;20160502;20160912;31,01;620,2
PO;100;27353;9;AC MODELL;B-80036;High pressure hose 7,5m  new;10;PC;P/F6B1;20160502;20160912;46,93;469,3
PO;100;27353;10;;DEADML145;RECHARGEABLE FLASHLIGHT 14,4V;30;PC;16A32;20160502;20160912;8,72;261,6
PO;100;27353;11;;F-33588;CONCRETE NAILER 25mm;10;PC;11-12;20160502;20160912;16,57;165,7
PO;100;27353;12;;STEXML705;Rechargeable Grab Light;10;PC;16RI2E;20160502;20160912;9,15;91,5
PO;100;27353;13;;STEX122299;BELT SANDER STAND;10;PC;12A24A;20160502;20160912;34,15;341,5
PO;100;27353;14;;XTM0000022;GUIDE BAR CASE;10;PC;V6A3C2;20160502;20160912;2,08;20,8
PO;100;27353;15;;122297-2;DUST BAG ASS'Y;40;PC;M/N6C1;20160502;20160912;3,99;159,6
