Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27392;1;;A-87367;FLUORESCENT TUBE;10;PC;S1J5C1;20160503;20160912;1,47;14,7
PO;100;27392;2;;B-07303;LIGHT BULB SET;50;SE;E7F4F1;20160503;20160912;0;0
PO;100;27392;3;;GM00000010;REFLECTOR RETAINER;60;PC;S3D1E1;20160503;20160912;0,65;39
PO;100;27392;4;;GM00000050;HOUSING R;10;PC;S3H4E1;20160503;20160912;0,81;8,1
PO;100;27392;5;;GM00000070;LENS;100;PC;S3D1D2;20160503;20160912;0,57;57
PO;100;27392;6;;GM00001291;Switch Cover;5;PC;T1B7C1;20160503;20160912;0,15;0,75
PO;100;27392;7;;SC00000464;CHECK VALVE #T43445N1;1;PC;RE1B13;20160503;20160912;6,44;6,44
PO;100;27392;8;;SC00000478;LINER B #T45464;1;PC;YA2B09;20160503;20160912;1,19;1,19
PO;100;27392;9;;SE00000266;Circuit board  a  ass'y;10;PC;T1A2C1;20160503;20160912;25,19;251,9
PO;100;27392;10;;TL00000011;PCB  (AN-0289001);10;PC;RM3C18;20160503;20160912;0,05;0,5
PO;100;27392;11;;TP00000070;SWITCH BUTTON SET  new;10;PC;E6G5C1;20160503;20160912;0,06;0,6
PO;100;27392;12;;TP00000097;BUTTON COVER SET  AP-0289CLS-R;5;PC;RP2C19;20160503;20160912;0;0
PO;100;27392;13;;123501-2;CLEANER PLATE ASSLY.;5;PC;EEE;20160503;20160912;0;0
PO;100;27392;14;;125165-8;GEAR ASS'Y     new;10;PC;S1D5F1;20160503;20160912;28,96;289,6
PO;100;27392;15;;125553-9;OIL TUBE ASSEMBLY;5;PC;EEE;20160503;20160912;0,79;3,95
PO;100;27392;16;;140171-2;HAMMER CASE COMPLETE;40;PC;S1R5E1;20160503;20160912;5,64;225,6
PO;100;27392;17;;142071-2;PISTEN A COMPLETE;5;PC;V6K7F1;20160503;20160912;0,54;2,7
PO;100;27392;18;;142072-0;PISTEN B COMPLETE;20;PC;E6F2C1;20160503;20160912;0,81;16,2
PO;100;27392;19;;152531-6;BEARING BOX COMPLETE;5;PC;S8G5B2;20160503;20160912;1,04;5,2
PO;100;27392;20;;152939-4;MOTOR HOUSING Complete;10;PC;E5J2A1;20160503;20160912;9,13;91,3
PO;100;27392;21;;153178-9;GEAR COMPLETE;20;PC;V6B8C1;20160503;20160912;5,6;112
PO;100;27392;22;;153310-5;ARM  9  Complete;40;PC;E5H6F2;20160503;20160912;7,61;304,4
PO;100;27392;23;;153476-1;HALF NUT COMPLETE;10;PC;S3D4A2;20160503;20160912;2,27;22,7
PO;100;27392;24;;153623-4;HAMMER CASE COMPLETE;10;PC;S4M1E1;20160503;20160912;9,6;96
PO;100;27392;25;;153717-5;BEARING BOX COMPLETE;5;PC;E6I3C1;20160503;20160912;7,91;39,55
PO;100;27392;26;;157817-3;CRANK HOUSING;10;PC;S2Q6A1;20160503;20160912;10,44;104,4
PO;100;27392;27;;158533-0;BARREL COMPLETE;5;PC;T5B7A1;20160503;20160912;6,4;32
PO;100;27392;28;;161468-6;SAFETY LEVER        new;10;PC;S9A4D2;20160503;20160912;0;0
PO;100;27392;29;;162172-0;PAD;10;PC;S8F4B1;20160503;20160912;6,5;65
PO;100;27392;30;;162201-9;DUST COVER;5;PC;RC3A12;20160503;20160912;0,87;4,35
PO;100;27392;31;;164543-7;GRIP BASE;5;PC;S2N4B1;20160503;20160912;2,18;10,9
PO;100;27392;32;;164569-9;GRIP HOLDER;5;PC;S2N2A1;20160503;20160912;2,32;11,6
PO;100;27392;33;;168394-0;Carburetor;10;PC;Y1N2F1;20160503;20160912;10,86;108,6
PO;100;27392;34;;168401-9;SPARK PLUG  CMR6A;10;PC;S8B8A1;20160503;20160912;2,88;28,8
PO;100;27392;35;;183559-3;REAR COVER SET;20;SE;S1H6C2;20160503;20160912;1,84;36,8
PO;100;27392;36;;183560-8;Motor Housing;10;PC;S1I4A1;20160503;20160912;2,57;25,7
PO;100;27392;37;;183629-8;HOUSING SET;20;SE;S9E7E1;20160503;20160912;8,1;162
PO;100;27392;38;;187142-8;HOUSING SET;10;SE;V4J2C1;20160503;20160912;6,18;61,8
PO;100;27392;39;;187860-8;HOUSING SET;5;SE;T1F2C1;20160503;20160912;0;0
PO;100;27392;40;;188023-9;BLADE CASE SET;5;PC;E6R4A1;20160503;20160912;50,69;253,45
PO;100;27392;41;;188031-0;Housing Set;10;SE;E5Q3D1;20160503;20160912;6,18;61,8
PO;100;27392;42;;188266-3;HOUSING SET  new;20;SE;E7D7B1;20160503;20160912;5,83;116,6
PO;100;27392;43;;188310-6;Guide attachment set;5;PC;E7C7D2;20160503;20160912;1,27;6,35
PO;100;27392;44;;210047-8;BALL BEARING  626Z  new;10;PC;S4J5D;20160503;20160912;0,57;5,7
PO;100;27392;45;;211142-7;BALL BEARING  6001LLB;100;PC;S4J3A;20160503;20160912;1,15;115
PO;100;27392;46;;211148-5;BALL BEARING  6001ZZ;50;PC;S4K4A;20160503;20160912;1,15;57,5
PO;100;27392;47;;213008-7;O RING  22.4;10;PC;S8F1D1;20160503;20160912;0,04;0,4
PO;100;27392;48;;213184-7;X RING  14;10;PC;XI3A41;20160503;20160912;0,24;2,4
PO;100;27392;49;;213554-0;O RING 44;10;PC;S8E1E2;20160503;20160912;0,09;0,9
PO;100;27392;50;;213619-8;O RING  49;10;PC;S8C1E1;20160503;20160912;0,13;1,3
PO;100;27392;51;;213662-7;O RING  55;20;PC;RL3C15;20160503;20160912;0,1;2
PO;100;27392;52;;214031-5;PLANE BEARING  4;40;PC;RC1C28;20160503;20160912;0,04;1,6
PO;100;27392;53;;221242-5;INTERNAL GEAR 65;10;PC;S8G7D2;20160503;20160912;13,57;135,7
PO;100;27392;54;;221323-5;SPIRAL BEVEL GEAR 58;10;PC;S2G5B2;20160503;20160912;7,04;70,4
PO;100;27392;55;;221367-5;SPIRAL BEVEL GEAR 36;10;PC;S2N4C1;20160503;20160912;7,13;71,3
PO;100;27392;56;;221422-3;WORM GEAR;10;PC;Y1N3D1;20160503;20160912;1,13;11,3
PO;100;27392;57;;221676-2;HELICAL GEAR 36;20;PC;S2N2C1;20160503;20160912;2,57;51,4
PO;100;27392;58;;221745-9;HELICAL GEAR 36;10;PC;S8D3B1;20160503;20160912;2,88;28,8
PO;100;27392;59;;222147-2;PULLEY 10-24.1;10;PC;S3F4D1;20160503;20160912;1,88;18,8
PO;100;27392;60;;224011-3;OUTER FLANGE 45;5;PC;S8H5A2;20160503;20160912;1,08;5,4
PO;100;27392;61;;224206-8;INNER FLANGE 55;5;PC;S9L0B1;20160503;20160912;1,33;6,65
PO;100;27392;62;;226136-9;GEAR COMPLETE  7-32;10;PC;Y1B5B2;20160503;20160912;4,1;41
PO;100;27392;63;;226232-3;SPUR GEAR 15;10;PC;S1R4D1;20160503;20160912;1,85;18,5
PO;100;27392;64;;226529-0;Helical Gear 26;10;PC;Y1A5E1;20160503;20160912;2,23;22,3
PO;100;27392;65;;226745-4;STRAIGHT BEVEL GEAR 33;10;PC;S0F5B1;20160503;20160912;8,78;87,8
PO;100;27392;66;;227049-7;SPUR GEAR  18;10;PC;S9F3B2;20160503;20160912;0,13;1,3
PO;100;27392;67;;227262-7;SPUR GEAR 16;5;PC;V4G5A1;20160503;20160912;0;0
PO;100;27392;68;;231969-9;LOCK SPRING  20;5;PC;S9F7D1;20160503;20160912;1,53;7,65
PO;100;27392;69;;231977-0;RING SPRING 25;10;PC;S0F4A2;20160503;20160912;0,05;0,5
PO;100;27392;70;;233503-1;TORSION SPRING 4;5;PC;RG2A35;20160503;20160912;0,32;1,6
PO;100;27392;71;;233955-6;RING SPRING  36;5;PC;RO3B04;20160503;20160912;0,05;0,25
PO;100;27392;72;;234251-5;COMPRESSION SPRING  25;5;PC;V4F4B1;20160503;20160912;0,57;2,85
PO;100;27392;73;;251897-2;SCREW  M6x33;10;PC;E4C4E2;20160503;20160912;0,72;7,2
PO;100;27392;74;;252094-3;HEX. NUT M8;10;PC;RF1A05;20160503;20160912;0,4;4
PO;100;27392;75;;253308-3;THIN WASHER 6;30;PC;XG2C37;20160503;20160912;0,02;0,6
PO;100;27392;76;;253929-1;CUP WASHER  5;100;PC;S8L4E1;20160503;20160912;0,07;7
PO;100;27392;77;;256221-4;PIN 3;20;PC;RD3B15;20160503;20160912;0,04;0,8
PO;100;27392;78;;256265-4;PIN 10;20;PC;S3B1C1;20160503;20160912;0,16;3,2
PO;100;27392;79;;265751-4;THUMB SCREW  M5x13;10;PC;RI3C12;20160503;20160912;0,2;2
PO;100;27392;80;;265910-0;Screw  JR100D;10;SE;XM1C08;20160503;20160912;0;0
PO;100;27392;81;;266042-6;TAPPING SCREW BIND CT   4x20;20;PC;RL1C22;20160503;20160912;0,03;0,6
PO;100;27392;82;;267273-0;FLAT WASHER 29 HM0860C;30;PC;RC1B04;20160503;20160912;0,24;7,2
PO;100;27392;83;;267386-7;Flat Washer  30;10;PC;E4G4E1;20160503;20160912;1,13;11,3
PO;100;27392;84;;267746-3;CUP WASHER 17;10;PC;Y1F6B2;20160503;20160912;0,37;3,7
PO;100;27392;85;;271417-6;DIAL 28;10;PC;S8M8A2;20160503;20160912;0,47;4,7
PO;100;27392;86;;285026-5;BEARING RETAINER  14-23;10;PC;;20160503;20160912;0;0
PO;100;27392;87;;285841-7;BEARING RETAINER  19-33;20;PC;S9O6B2;20160503;20160912;0,33;6,6
PO;100;27392;88;;285842-5;BEARING RETAINER  36-43;10;PC;S1I2D1;20160503;20160912;0,57;5,7
PO;100;27392;89;;286216-3;CAP 46;5;PC;S8K3A2;20160503;20160912;0,33;1,65
PO;100;27392;90;;286253-7;CAP  40  HR3000C;20;PC;Y1F1F1;20160503;20160912;0,19;3,8
PO;100;27392;91;;317598-3;GEAR HOUSING;5;PC;E6I2B2;20160503;20160912;7,12;35,6
PO;100;27392;92;;318267-9;HOLDER;5;PC;E7R5B2;20160503;20160912;2,23;11,15
PO;100;27392;93;;321733-7;FRONT CAP;5;PC;S8M6A1;20160503;20160912;9,72;48,6
PO;100;27392;94;;322071-0;ARBOR;15;PC;S7H4C2;20160503;20160912;5,2;78
PO;100;27392;95;;322208-9;RING HOLDER;5;PC;S7I8E1;20160503;20160912;4,8;24
PO;100;27392;96;;322216-0;IMPACT BOLT;2;PC;S2M3B1;20160503;20160912;6,01;12,02
PO;100;27392;97;;322465-9;SPINDLE LOCK BUSH;10;PC;S8A4A1;20160503;20160912;1,24;12,4
PO;100;27392;98;;322476-4;CONECTING ROD;5;PC;S8B2D1;20160503;20160912;5,75;28,75
PO;100;27392;99;;322493-4;RETAINER;10;PC;S7F3A2;20160503;20160912;3,19;31,9
PO;100;27392;100;;322909-9;LOCK PIN;20;PC;S8M6D2;20160503;20160912;0,37;7,4
PO;100;27392;101;;322951-0;CHANGE KEY;10;PC;RB1A10;20160503;20160912;0,95;9,5
PO;100;27392;102;;324238-6;TOOL RETAINER SHAFT;10;PC;S1F2E1;20160503;20160912;5,53;55,3
PO;100;27392;103;;324539-2;TOOL HOLDER  29;20;PC;Y1N5F1;20160503;20160912;69,59;1391,8
PO;100;27392;104;;324753-0;IMPACT BOLT;10;PC;E6P6A2;20160503;20160912;1,99;19,9
PO;100;27392;105;;331450-1;SLEEVE 12;20;PC;S8N7C2;20160503;20160912;0,3;6
PO;100;27392;106;;331491-7;PIPE  9-200;10;PC;S2B5C1;20160503;20160912;0,85;8,5
PO;100;27392;107;;341377-7;WASHER 12;20;PC;RD3C09;20160503;20160912;0,28;5,6
PO;100;27392;108;;341389-0;WASHER 10;10;PC;S9B6B1;20160503;20160912;0,15;1,5
PO;100;27392;109;;341635-1;SAFETY COVER;10;PC;;20160503;20160912;0;0
PO;100;27392;110;;343355-3;STEEL PLATE;10;PC;S2D3B1;20160503;20160912;0,55;5,5
PO;100;27392;111;;343792-1;GUIDE ARM;10;PC;S9C7B1;20160503;20160912;1,91;19,1
PO;100;27392;112;;343945-2;(U) PLATE;40;PC;RA1C05;20160503;20160912;0,12;4,8
PO;100;27392;113;;344295-8;ARM;10;PC;RE2B24;20160503;20160912;0,53;5,3
PO;100;27392;114;;344625-3;LEVER;5;PC;RC3A01;20160503;20160912;0,19;0,95
PO;100;27392;115;;344701-3;EARTH PLATE;5;PC;XG3A15;20160503;20160912;0,04;0,2
PO;100;27392;116;;345226-0;CENTER COVER  new;10;PC;S1G4C1;20160503;20160912;0,57;5,7
PO;100;27392;117;;345418-1;GUIDE PLATE;5;PC;S0B4B1;20160503;20160912;1,49;7,45
PO;100;27392;118;;345702-4;DRIVER;10;PC;RC2C41;20160503;20160912;3,35;33,5
PO;100;27392;119;;345733-3;Riving Knife Holder  new;10;PC;S8M7D1;20160503;20160912;4;40
PO;100;27392;120;;345997-9;PUSHER;10;PC;RP1C04;20160503;20160912;2,11;21,1
PO;100;27392;121;;346131-4;SLIP PLATE R;10;PC;RR1B46;20160503;20160912;0,56;5,6
PO;100;27392;122;;410585-2;BASE PROTECTOR;10;PC;S9M3D1;20160503;20160912;0,9;9
PO;100;27392;123;;411662-3;CRANK CAP;10;PC;S7K1D2;20160503;20160912;0,88;8,8
PO;100;27392;124;;411930-4;BASE;5;PC;S9M4B1;20160503;20160912;2,99;14,95
PO;100;27392;125;;412073-5;INNER RING 26;5;PC;S8D5C2;20160503;20160912;0,93;4,65
PO;100;27392;126;;413063-1;BASE PLATE;20;PC;S9N9B2;20160503;20160912;1,93;38,6
PO;100;27392;127;;413076-2;BAFFLE PLATE;10;PC;Y1H2E2;20160503;20160912;0,3;3
PO;100;27392;128;;415440-3;LOCK-OFF BUTTON;5;PC;RD2A24;20160503;20160912;0,18;0,9
PO;100;27392;129;;415873-2;BAFFLE PLATE;5;PC;Y1H1C1;20160503;20160912;0,15;0,75
PO;100;27392;130;;416449-8;PIN CAP;20;PC;S3E4B1;20160503;20160912;0,08;1,6
PO;100;27392;131;;416726-8;PISTON;10;PC;Y1A2H2;20160503;20160912;0,6;6
PO;100;27392;132;;417010-4;BAFFLE PLATE;5;PC;Y1F3A1;20160503;20160912;0,65;3,25
PO;100;27392;133;;417016-2;ROD;10;PC;Y1F3D2;20160503;20160912;0,38;3,8
PO;100;27392;134;;417024-3;BRUSH HOLDER COVER;10;PC;Y1F4A2;20160503;20160912;0,24;2,4
PO;100;27392;135;;417048-9;Motor Cover;5;PC;Y1F6F1;20160503;20160912;2,15;10,75
PO;100;27392;136;;417185-9;REAR COVER;20;PC;Y1H3B1;20160503;20160912;1,68;33,6
PO;100;27392;137;;417248-1;KNOB;10;PC;E5C2B1;20160503;20160912;1,45;14,5
PO;100;27392;138;;417250-4;KNOB   R;10;PC;Y8A6D1;20160503;20160912;0,86;8,6
PO;100;27392;139;;418011-5;Light Holder;10;PC;S9F5D2;20160503;20160912;0,49;4,9
PO;100;27392;140;;418104-8;LENS;10;PC;RE2B45;20160503;20160912;0,15;1,5
PO;100;27392;141;;418717-5;THROTTLE HOLDER;10;PC;RL3A01;20160503;20160912;0,22;2,2
PO;100;27392;142;;419039-6;Handle;10;PC;E5M7C1;20160503;20160912;8,76;87,6
PO;100;27392;143;;419268-1;Plastic case LID;20;PC;E5R6A1;20160503;20160912;2,13;42,6
PO;100;27392;144;;419277-0;DUST NOZZLE  new;10;PC;E5P5D1;20160503;20160912;0,31;3,1
PO;100;27392;145;;419457-8;F/R Change Lever;5;PC;RH3B12;20160503;20160912;0,46;2,3
PO;100;27392;146;;419702-1;Cam;10;PC;RN3A06;20160503;20160912;0,27;2,7
